word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-flytrap-2.png,True
2,2.,458,413,498,453,question-flytrap-2.png,True
3,Based,522,413,682,454,question-flytrap-2.png,True
4,on,702,422,765,454,question-flytrap-2.png,True
5,the,784,413,866,454,question-flytrap-2.png,True
6,"passage,",886,422,1116,465,question-flytrap-2.png,True
7,a,1137,422,1165,454,question-flytrap-2.png,True
8,significant,1184,413,1459,465,question-flytrap-2.png,True
9,advantage,1477,413,1749,465,question-flytrap-2.png,True
10,of,1767,413,1817,454,question-flytrap-2.png,True
11,the,1834,413,1916,454,question-flytrap-2.png,True
12,Venus,205,613,246,664,question-flytrap-2.png,True
13,flytrap’s,267,613,458,654,question-flytrap-2.png,True
14,requirement,475,613,550,654,question-flytrap-2.png,True
15,for,571,613,687,665,question-flytrap-2.png,True
16,multiple,703,615,748,654,question-flytrap-2.png,True
17,triggers,768,613,939,665,question-flytrap-2.png,True
18,is,957,613,1032,654,question-flytrap-2.png,True
19,that,1051,613,1236,665,question-flytrap-2.png,True
20,it,1255,613,1298,654,question-flytrap-2.png,True
21,enables,1318,613,1369,654,question-flytrap-2.png,True
22,the,1389,622,1500,665,question-flytrap-2.png,False
23,plant,201,1013,246,1064,question-flytrap-2.png,False
24,to,268,1015,476,1065,question-flytrap-2.png,False
25,identify,493,1013,569,1054,question-flytrap-2.png,False
26,the,589,1013,705,1065,question-flytrap-2.png,False
27,species,722,1013,829,1054,question-flytrap-2.png,False
28,of,850,1013,1018,1065,question-flytrap-2.png,False
29,its,1040,1013,1192,1054,question-flytrap-2.png,False
30,prey.,1212,1013,1434,1065,question-flytrap-2.png,False
31,2),1457,1013,1508,1054,question-flytrap-2.png,False
32,conserves,1528,1022,1639,1065,question-flytrap-2.png,False
33,the,200,479,362,520,question-flytrap-2.png,False
34,plant’s,380,479,591,531,question-flytrap-2.png,False
35,calcium,613,479,929,531,question-flytrap-2.png,False
36,reserves.,946,479,1019,520,question-flytrap-2.png,False
37,3),1039,479,1247,531,question-flytrap-2.png,False
38,safeguards,1264,479,1468,531,question-flytrap-2.png,False
39,the,1489,479,1530,520,question-flytrap-2.png,False
40,plant’s,1548,479,1648,520,question-flytrap-2.png,False
41,energy,1668,479,1698,519,question-flytrap-2.png,False
42,supply.,202,746,246,797,question-flytrap-2.png,False
43,4),267,755,516,787,question-flytrap-2.png,False
44,prevents,533,746,609,787,question-flytrap-2.png,False
45,the,629,746,784,798,question-flytrap-2.png,False
46,plant,803,746,985,787,question-flytrap-2.png,False
47,from,1008,755,1228,787,question-flytrap-2.png,False
48,closing,201,879,246,930,question-flytrap-2.png,False
49,before,267,879,538,931,question-flytrap-2.png,False
50,capturing,555,879,630,920,question-flytrap-2.png,False
51,its,651,879,806,931,question-flytrap-2.png,False
52,prey.,825,888,991,931,question-flytrap-2.png,False
