n_words,unique_paragraph_id,paragraph
129,1,"Claim: ""The sign-Off"" will return in last year. Context: (EW.com) -- ""The Sing-Off"" has found its new judge: Grammy-nominated singer-songwriter Jewel is coming to NBC's cult-favorite a cappella competition series this winter. Jewel will join Boyz II Men's Shawn Stockman and Ben Folds as judges on the show, and Nick Lachey will return as host. The singer replaces exiting singer-songwriter Sara Bareilles on the show. ""There are very few musical artists as accomplished and talented as Jewel,"" said Paul Telegdy. Jewel previously served as an adviser on Burnett's ""The Voice"" last year. ""Jewel is one of America's greatest singer songwriters and is an amazing storyteller,"" Burnett said. ""...The Sing-Off is sure to be its best [season] yet."" ""The Sing-Off"" will return in December. See the original story at EW.com."
137,2,"Claim: The title is expected to be released within last week. Context: (Mashable) -- Rovio Entertainment, known for its intense focus on one mega-successful game title, ""Angry Birds,"" is looking to diversify with another new mobile game called ""Amazing Alex."" The title is a rebranding of ""Casey's Contraptions,"" which Rovio bought from developers Noel Llopis and Miguel A. Friginal earlier this month. Rovio CEO Mikael Hed told Finnish TV station Yle that the latest game ""has an educational element and centers on the main character Alex, a curious young boy who loves to build things."" The title is expected to be released within the next two months. ""Casey's Contraptions"" is another physics-based game along the lines of ""Angry Birds."" The game features Rube Goldberg-type contraptions that are made from items like balloons, soccer balls, scissors and buckets."
128,3,"Claim: Paddy Kenny is not close to joining the Bolton Wanderers Championship team. Context: Paddy Kenny is close to joining Championship outfit Bolton Wanderers. The 36-year-old free agent is to sign a short term contract at the Macron Stadium. Kenny, who left Leeds United in the summer, will provide cover for Andy Lonergan at Bolton with Adam Bogdan facing two months on the sidelines because of a finger problem. Goalkeeper Paddy Kenny left Leeds United by 'mutual consent' in the middle of August Paddy Kenny had been first choice at Elland Road for the past two seasons before leaving the club The 36-year-old shot stopper will compete with__NBWS__Andy Lonergan while Adam Bogdan, pictured, is out injured Bolton manager Dougie Freedman said: 'Paddy Kenny is a very experienced player."
125,4,"Claim: Read more: Karzai welcomes the plan to withdraw Khost city troops. Context: Kabul, Afghanistan (CNN) -- A car bomber hit outside a U.S. base in eastern Afghanistan on Wednesday, killing three people and leaving civilians injured, authorities said. The blast killed a security guard and two truck drivers delivering supplies, according to Abdul Qayoom Baqizoy, the provincial police chief. The Taliban claimed responsibility for the attack, which occurred after a minibus stopped at the gate for a security check. Official: Shooter in insider attack is Iranian national In an e-mail, a spokesman for the terror group said the attack was conducted ""when American soldiers were busy searching their Afghan servants"" at the gate of the base. Read more: Karzai welcomes UK troop withdrawal plan"
120,5,"Claim: Veteran Cech was back on the bench, as he had done in Belgian. Context: Fernando Torres has been left out of Chelsea's squad to face Leicester at Stamford Bridge on Saturday. The Spanish striker was an unused substitute in Chelsea's 3-1 win over Burnley on Monday night and has been linked with a Stamford Bridge exit this summer. Jose Mourinho has brought in both Diego Costa and Didier Drogba during the transfer window, bolstering his team's attacking options. VIDEO Scroll down to watch__NBWS__Jose Mourinho: Torres is going nowhere. Veteran Cech was on the bench once again as he had been at Burnley. Summer signings Filipe Luis and Drogba, returning to his old club, were also both among the substitutes."
118,6,"Claim: Blinkah' is how Bostonians pronounce 'blinker,,' otherwise known as a turn signal. Context: By Associated Press Perhaps the reason notoriously aggressive Boston drivers don't use their turn signals is that no one's ever put it in terms they understand. The Massachusetts Department of Transportation on Friday changed that by posting messages on electronic highway signs around the city that read: 'Changing Lanes? Use Yah Blinkah.' 'Blinkah' is how Bostonians pronounce 'blinker,' otherwise known as a turn signal. An electronic highway sign is seen on Interstate 93 in Boston, Friday, May 9, 2014. The Massachusetts Department of Transportation posted the message ""Changing Lanes? Use Yah Blinkah"" on the signs around the city. ""Blinkah"" is how Bostonians pronounce ""blinker""."
131,7,"Claim: Lucy Grace Hojnacki was born just after Wednesday on Tuesday, , WIVB reported. Context: (CNN) -- If a baby had to be born in a snowstorm, this was the way to do it. Bethany Hojnack of south Buffalo, New York, went into labor early Tuesday, according to CNN affiliate WIVB. She couldn't get to the hospital because of an epic snowstorm, but found help along the way. ""It was kind of incredible. God really put the people who needed to be in the right spot for us at the right time,"" Hojnacki's husband, Jared Hojnacki, told CNN's ""Anderson Cooper 360"" on Wednesday. She stuck with them throughout the labor, and delivered their baby at a firehouse. Lucy Grace Hojnacki was born just after 9:30 p.m. ET on Tuesday, WIVB reported."
126,8,"Claim: Police said the two men weren't also beaten while trying to help Babbitt. Context: (CNN) -- New York police are weighing whether to pursue hate crime charges in the vicious beating of a white man last week. The department's Hate Crimes Task Force is investigating the incident. The 62-year-old victim, identified by a neighbor as Jeffrey Babbitt, is in critical condition at Bellevue Hospital after the Wednesday attack, Kelly said. Two other men were also assaulted as they tried to help Babbitt, police said. Lashawn Marten has been charged with three counts of assault, one of them a felony. Robert Pizzimenti, a neighbor of Babbitt's, described the man as ""a lovable guy."" ""He was the kind of guy who always was doing favors for people."
125,9,"Claim: I was released in March after compensation to their families. Context: Denver (CNN) -- Raymond Davis, who was charged with killing two men in Pakistan as a CIA contractor but was later released, was arrested Saturday after a fistfight at a shopping center in Colorado, authorities said. Davis was charged with misdemeanor assault and disorderly conduct after allegedly getting into a fight over a parking space at a suburban Denver mall, according to Lt. Glenn Peitzmeier of the Douglas County Sheriff's Office. Davis was released after posting $__NBWS__1,750.00 bond, Peitzmeier said. Davis' wife, Rebecca, declined a CNN request for comment. Davis was charged with killing two men in Lahore, Pakistan, in January. He was released in March after compensation was paid to their families."
103,10,"Claim: One of highlights of the meet its annual cosplay. Context: Zombies, ""World of Warcraft"" characters and showgirls in skimpy outfits flooded Shanghai's New International Expo Centre from July 31-August 3 for the 12th annual ChinaJoy event. One of the highlights of the meet -- its annual cosplay competition. Participants, either solo or in teams, dressed up to emulate characters from comic books, movies and video games to be judged based on their costumes, routine and the response they received from the audience. With some preparing months in advance, the show was spectacular. Click through the gallery above for some of the results."
