metric_type,metric_name,eval_type,data_task,model,eval_regime,fold,n_folds,fold_list,n_samples,n_unique_y_true,n_unique_y_pred,y_true_single,y_pred_single,y_true_distribution,y_pred_distribution,extra_classes_in_y_pred,score
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,0,1,[0],960,2,1,False,True,"{1: 828, 0: 132}",{1: 960},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,1,1,[1],960,2,1,False,True,"{1: 807, 0: 153}",{1: 960},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,2,1,[2],863,2,2,False,False,"{1: 724, 0: 139}","{1: 709, 0: 154}",,0.5308537700226559
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,3,1,[3],720,2,2,False,False,"{1: 592, 0: 128}","{1: 639, 0: 81}",,0.5361064189189189
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,4,1,[4],720,2,2,False,False,"{1: 583, 0: 137}","{1: 679, 0: 41}",,0.5008951934995179
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,5,1,[5],816,2,1,False,True,"{1: 618, 0: 198}",{0: 816},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,6,1,[6],624,2,2,False,False,"{1: 516, 0: 108}","{1: 515, 0: 109}",,0.5119509043927649
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,7,1,[7],720,2,2,False,False,"{1: 579, 0: 141}","{1: 503, 0: 217}",,0.5110425164443464
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,8,1,[8],624,2,1,False,True,"{1: 489, 0: 135}",{1: 624},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,seen_subject_unseen_item,9,1,[9],767,2,1,False,True,"{1: 583, 0: 184}",{0: 767},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,0,1,[0],732,2,2,False,False,"{1: 607, 0: 125}","{1: 730, 0: 2}",,0.49835255354200986
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,1,1,[1],743,2,1,False,True,"{1: 620, 0: 123}",{1: 743},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,2,1,[2],774,2,2,False,False,"{1: 632, 0: 142}","{1: 639, 0: 135}",,0.4837537885541095
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,3,1,[3],792,2,2,False,False,"{1: 641, 0: 151}","{1: 709, 0: 83}",,0.5007180419667118
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,4,1,[4],780,2,2,False,False,"{1: 643, 0: 137}","{1: 673, 0: 107}",,0.5319045078384852
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,5,1,[5],792,2,1,False,True,"{1: 634, 0: 158}",{0: 792},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,6,1,[6],803,2,2,False,False,"{1: 649, 0: 154}","{1: 686, 0: 117}",,0.522342064714946
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,7,1,[7],804,2,2,False,False,"{1: 636, 0: 168}","{1: 570, 0: 234}",,0.5380166217430369
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,8,1,[8],798,2,1,False,True,"{1: 650, 0: 148}",{1: 798},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_seen_item,9,1,[9],756,2,1,False,True,"{1: 604, 0: 152}",{0: 756},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,0,1,[0],120,2,1,False,True,"{1: 102, 0: 18}",{1: 120},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,1,1,[1],120,2,1,False,True,"{1: 93, 0: 27}",{1: 120},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,2,1,[2],108,2,2,False,False,"{1: 94, 0: 14}","{1: 91, 0: 17}",,0.49164133738601823
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,3,1,[3],90,2,2,False,False,"{1: 72, 0: 18}","{1: 81, 0: 9}",,0.4722222222222222
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,4,1,[4],90,2,2,False,False,"{1: 75, 0: 15}","{1: 76, 0: 14}",,0.48666666666666664
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,5,1,[5],102,2,1,False,True,"{1: 78, 0: 24}",{0: 102},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,6,1,[6],78,2,2,False,False,"{1: 58, 0: 20}","{1: 63, 0: 15}",,0.47155172413793106
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,7,1,[7],90,2,2,False,False,"{1: 71, 0: 19}","{1: 68, 0: 22}",,0.44514455151964416
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,8,1,[8],78,2,1,False,True,"{1: 59, 0: 19}",{1: 78},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,unseen_subject_unseen_item,9,1,[9],96,2,1,False,True,"{1: 78, 0: 18}",{0: 96},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,0,1,[0],1812,2,2,False,False,"{1: 1537, 0: 275}","{1: 1810, 0: 2}",,0.4993493819128172
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,1,1,[1],1823,2,1,False,True,"{1: 1520, 0: 303}",{1: 1823},,0.5
Discriminative,balanced_accuracy,val,OneStop_RC,AhnCNN,all,2,1,[2],1745,2,2,False,False,"{1: 1450, 0: 295}","{1: 1439, 0: 306}",,0.5066686148451198
