word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-genome-1.png,True
2,1.,460,414,498,453,question-genome-1.png,True
3,The,519,413,616,454,question-genome-1.png,True
4,primary,636,413,835,465,question-genome-1.png,True
5,purpose,855,422,1070,465,question-genome-1.png,True
6,of,1088,413,1138,454,question-genome-1.png,True
7,the,1155,413,1236,454,question-genome-1.png,True
8,passage,1257,422,1474,465,question-genome-1.png,True
9,is,1494,413,1535,454,question-genome-1.png,True
10,to,1553,415,1603,454,question-genome-1.png,True
11,present,205,613,246,664,question-genome-1.png,True
12,the,268,615,449,665,question-genome-1.png,False
13,background,466,613,541,654,question-genome-1.png,False
14,of,561,613,845,665,question-genome-1.png,False
15,a,866,613,909,654,question-genome-1.png,False
16,medical,928,622,955,654,question-genome-1.png,False
17,breakthrough.,975,613,1159,654,question-genome-1.png,False
18,2),1182,613,1516,665,question-genome-1.png,False
19,evaluate,201,1013,246,1064,question-genome-1.png,False
20,the,267,1013,437,1065,question-genome-1.png,False
21,research,456,1013,532,1054,question-genome-1.png,False
22,that,550,1013,866,1065,question-genome-1.png,False
23,led,885,1013,927,1054,question-genome-1.png,False
24,to,946,1022,973,1054,question-genome-1.png,False
25,a,994,1013,1157,1054,question-genome-1.png,False
26,scientific,1178,1013,1221,1054,question-genome-1.png,False
27,discovery.,1240,1013,1450,1054,question-genome-1.png,False
28,3),1468,1013,1605,1065,question-genome-1.png,False
29,summarize,202,746,246,797,question-genome-1.png,False
30,the,267,746,473,787,question-genome-1.png,False
31,findings,490,746,566,787,question-genome-1.png,False
32,of,586,746,795,787,question-genome-1.png,False
33,a,815,746,906,787,question-genome-1.png,False
34,long-term,926,746,993,787,question-genome-1.png,False
35,research,1012,748,1057,787,question-genome-1.png,False
36,project.,1076,755,1103,787,question-genome-1.png,False
37,4),1122,746,1333,787,question-genome-1.png,False
38,explain,1350,746,1589,798,question-genome-1.png,False
39,the,201,879,246,930,question-genome-1.png,False
40,development,267,879,535,920,question-genome-1.png,False
41,of,552,879,627,920,question-genome-1.png,False
42,a,645,879,834,931,question-genome-1.png,False
43,branch,854,879,896,920,question-genome-1.png,False
44,of,915,888,942,920,question-genome-1.png,False
45,scientific,963,879,1190,931,question-genome-1.png,False
46,study.,1213,879,1422,920,question-genome-1.png,False
