word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,278,438,322,question-northpole-2.png,True
2,2.,458,279,498,319,question-northpole-2.png,True
3,The,534,279,631,320,question-northpole-2.png,True
4,sentence,650,281,888,320,question-northpole-2.png,True
5,in,908,279,950,319,question-northpole-2.png,True
6,the,970,279,1051,320,question-northpole-2.png,True
7,passage,1071,288,1289,331,question-northpole-2.png,True
8,“For,1309,279,1422,320,question-northpole-2.png,True
9,"years,",1439,288,1594,331,question-northpole-2.png,True
10,for,1615,279,1687,320,question-northpole-2.png,True
11,a,1706,288,1734,320,question-northpole-2.png,True
12,"lifetime,",204,346,405,395,question-northpole-2.png,True
13,the,426,346,508,387,question-northpole-2.png,True
14,machinery,528,346,801,398,question-northpole-2.png,True
15,of,819,346,869,387,question-northpole-2.png,True
16,my,889,355,965,398,question-northpole-2.png,True
17,destiny,983,346,1175,398,question-northpole-2.png,True
18,has,1195,346,1285,387,question-northpole-2.png,True
19,worked,1302,346,1494,387,question-northpole-2.png,True
20,in,1516,346,1559,386,question-northpole-2.png,True
21,secret,1579,348,1740,387,question-northpole-2.png,True
22,to,1757,348,1807,387,question-northpole-2.png,True
23,prepare,205,613,246,664,question-northpole-2.png,True
24,for,267,622,442,665,question-northpole-2.png,True
25,this,450,609,471,670,question-northpole-2.png,True
26,moment;,508,613,606,654,question-northpole-2.png,True
27,its,625,613,668,654,question-northpole-2.png,True
28,clockwork,685,613,760,654,question-northpole-2.png,True
29,has,781,615,971,654,question-northpole-2.png,True
30,moved,988,613,1079,654,question-northpole-2.png,True
31,exactly,1099,613,1156,654,question-northpole-2.png,True
32,toward,1176,613,1344,665,question-northpole-2.png,True
33,this,1361,615,1406,654,question-northpole-2.png,True
34,time,1427,613,1542,665,question-northpole-2.png,True
35,and,1562,613,1736,654,question-northpole-2.png,True
36,place,202,746,246,797,question-northpole-2.png,True
37,and,266,746,572,787,question-northpole-2.png,True
38,no,589,746,680,787,question-northpole-2.png,True
39,other.”,697,746,773,787,question-northpole-2.png,True
40,mainly,793,748,983,787,question-northpole-2.png,True
41,serves,1000,746,1143,787,question-northpole-2.png,True
42,to,1163,746,1200,786,question-northpole-2.png,True
43,1),1235,755,1248,787,question-northpole-2.png,False
44,expose,1268,746,1530,787,question-northpole-2.png,False
45,a,1552,746,1638,787,question-northpole-2.png,False
46,side,1660,746,1870,787,question-northpole-2.png,False
47,of,201,946,246,997,question-northpole-2.png,False
48,the,267,946,392,987,question-northpole-2.png,False
49,narrator,410,946,501,987,question-northpole-2.png,False
50,that,518,946,593,987,question-northpole-2.png,False
51,he,614,948,804,987,question-northpole-2.png,False
52,prefers,821,946,936,987,question-northpole-2.png,False
53,to,956,946,1128,987,question-northpole-2.png,False
54,keep,1145,948,1189,987,question-northpole-2.png,False
55,hidden.,1210,946,1267,987,question-northpole-2.png,False
56,2),1287,946,1533,987,question-northpole-2.png,False
57,demonstrate,1556,946,1610,998,question-northpole-2.png,False
58,that,1630,946,1832,998,question-northpole-2.png,False
59,the,201,1146,246,1197,question-northpole-2.png,False
60,narrator,267,1146,532,1198,question-northpole-2.png,False
61,thinks,549,1146,624,1187,question-northpole-2.png,False
62,in,645,1146,789,1198,question-northpole-2.png,False
63,a,810,1146,853,1187,question-northpole-2.png,False
64,methodical,870,1146,973,1187,question-northpole-2.png,False
65,and,992,1146,1141,1198,question-northpole-2.png,False
66,scientific,1161,1146,1299,1187,question-northpole-2.png,False
67,manner.,1318,1146,1393,1187,question-northpole-2.png,False
68,3),1414,1148,1604,1187,question-northpole-2.png,False
69,show,1624,1146,1708,1187,question-northpole-2.png,False
70,that,204,422,403,465,question-northpole-2.png,False
71,the,420,413,493,454,question-northpole-2.png,False
72,narrator,510,413,606,454,question-northpole-2.png,False
73,feels,627,415,853,462,question-northpole-2.png,False
74,himself,877,413,936,454,question-northpole-2.png,False
75,to,955,413,1224,454,question-northpole-2.png,False
76,be,1244,413,1334,454,question-northpole-2.png,False
77,influenced,1356,413,1528,454,question-northpole-2.png,False
78,by,1547,413,1734,465,question-northpole-2.png,False
79,powerful,1751,413,1929,454,question-northpole-2.png,False
80,and,203,822,395,854,question-northpole-2.png,False
81,independent,202,1013,289,1054,question-northpole-2.png,False
82,forces.,311,1013,613,1065,question-northpole-2.png,False
83,4),629,1013,791,1054,question-northpole-2.png,False
84,emphasize,203,1213,418,1265,question-northpole-2.png,False
85,the,438,1213,501,1254,question-northpole-2.png,False
86,length,521,1213,587,1254,question-northpole-2.png,False
87,of,607,1213,868,1265,question-northpole-2.png,False
88,time,201,479,297,520,question-northpole-2.png,False
89,during,315,479,428,520,question-northpole-2.png,False
90,which,446,479,540,520,question-northpole-2.png,False
91,the,562,479,699,531,question-northpole-2.png,False
92,narrator,718,479,811,520,question-northpole-2.png,False
93,has,834,488,896,520,question-northpole-2.png,False
94,prepared,915,479,1089,520,question-northpole-2.png,False
95,for,1112,479,1283,531,question-northpole-2.png,False
96,his,1301,488,1473,520,question-northpole-2.png,False
97,expedition.,1492,481,1541,520,question-northpole-2.png,False
