word_number,word,x1,y1,x2,y2,filename,is_question
1,Question,203,412,438,456,question-dickens-3.png,True
2,3.,457,413,498,454,question-dickens-3.png,True
3,It,522,413,551,453,question-dickens-3.png,True
4,can,569,422,660,454,question-dickens-3.png,True
5,reasonably,682,413,971,465,question-dickens-3.png,True
6,be,991,413,1051,454,question-dickens-3.png,True
7,inferred,1072,413,1271,454,question-dickens-3.png,True
8,from,1291,413,1410,454,question-dickens-3.png,True
9,the,1430,413,1511,454,question-dickens-3.png,True
10,passage,1531,422,1749,465,question-dickens-3.png,True
11,that,1766,413,1867,454,question-dickens-3.png,True
12,1),205,679,246,730,question-dickens-3.png,False
13,reading,268,679,446,731,question-dickens-3.png,False
14,the,466,679,541,720,question-dickens-3.png,False
15,book,561,679,678,720,question-dickens-3.png,False
16,convinced,696,679,940,720,question-dickens-3.png,False
17,him,963,679,1045,719,question-dickens-3.png,False
18,that,1065,679,1156,720,question-dickens-3.png,False
19,he,1176,679,1233,720,question-dickens-3.png,False
20,wanted,1251,679,1425,720,question-dickens-3.png,False
21,to,1445,681,1489,720,question-dickens-3.png,False
22,be,1509,679,1566,720,question-dickens-3.png,False
23,a,1573,675,1599,736,question-dickens-3.png,False
24,writer.,1631,679,1773,720,question-dickens-3.png,False
25,2),202,813,246,864,question-dickens-3.png,False
26,he’d,268,813,366,854,question-dickens-3.png,False
27,only,387,813,485,865,question-dickens-3.png,False
28,ever,505,822,609,854,question-dickens-3.png,False
29,been,629,813,746,854,question-dickens-3.png,False
30,given,766,813,894,865,question-dickens-3.png,False
31,sweets,915,815,1085,854,question-dickens-3.png,False
32,and,1104,813,1191,854,question-dickens-3.png,False
33,snacks,1212,813,1381,854,question-dickens-3.png,False
34,as,1400,822,1455,854,question-dickens-3.png,False
35,gifts,1473,813,1573,865,question-dickens-3.png,False
36,in,1593,813,1629,853,question-dickens-3.png,False
37,the,1648,813,1724,854,question-dickens-3.png,False
38,past.,1744,815,1856,865,question-dickens-3.png,False
39,3),201,946,246,997,question-dickens-3.png,False
40,the,265,946,340,987,question-dickens-3.png,False
41,gift,358,946,430,998,question-dickens-3.png,False
42,meant,450,948,600,987,question-dickens-3.png,False
43,that,617,946,708,987,question-dickens-3.png,False
44,Sempere,727,945,949,998,question-dickens-3.png,False
45,held,969,946,1067,987,question-dickens-3.png,False
46,him,1089,946,1172,986,question-dickens-3.png,False
47,in,1194,946,1231,986,question-dickens-3.png,False
48,high,1253,946,1351,998,question-dickens-3.png,False
49,regard,1373,946,1527,998,question-dickens-3.png,False
50,4),201,1079,246,1130,question-dickens-3.png,False
51,Sempere,267,1078,488,1131,question-dickens-3.png,False
52,was,507,1088,603,1120,question-dickens-3.png,False
53,a,603,1074,630,1135,question-dickens-3.png,False
54,friend,666,1079,801,1120,question-dickens-3.png,False
55,of,823,1079,866,1120,question-dickens-3.png,False
56,the,882,1079,958,1120,question-dickens-3.png,False
57,book’s,978,1079,1133,1120,question-dickens-3.png,False
58,author.,1152,1079,1315,1120,question-dickens-3.png,False
59,the,201,479,282,520,question-dickens-3.png,False
60,main,303,479,425,520,question-dickens-3.png,False
61,reason,448,488,623,520,question-dickens-3.png,False
62,that,642,479,743,520,question-dickens-3.png,False
63,the,760,479,841,520,question-dickens-3.png,False
64,narrator,862,481,1070,520,question-dickens-3.png,False
65,considers,1088,479,1347,520,question-dickens-3.png,False
66,Great,1366,478,1509,520,question-dickens-3.png,False
67,Expectations,1529,479,1868,531,question-dickens-3.png,False
68,to,201,548,250,587,question-dickens-3.png,False
69,be,272,546,332,587,question-dickens-3.png,False
70,the,349,546,431,587,question-dickens-3.png,False
71,best,451,546,561,587,question-dickens-3.png,False
72,gift,579,546,662,598,question-dickens-3.png,False
73,he,682,546,742,587,question-dickens-3.png,False
74,ever,760,555,872,587,question-dickens-3.png,False
75,received,892,546,1111,587,question-dickens-3.png,False
76,is,1133,546,1174,587,question-dickens-3.png,False
77,because,1195,546,1413,587,question-dickens-3.png,False
