word_number	word	x1	y1	x2	y2
1	Go	743	22	771	39
2	to	778	24	797	39
3	Question.	805	22	892	43
4	are	44	105	72	116
5	commonly	80	99	182	122
6	used	189	99	234	116
7	to	240	102	259	116
8	treat	266	102	309	116
9	cancer,	317	105	385	119
10	diabetes,	394	99	478	119
11	autoimmune	486	99	606	116
12	diseases,	614	99	696	119
13	and	705	99	740	116
14	more.	746	105	795	116
15	The	809	99	845	116
16	trouble	43	156	113	174
17	is	122	163	135	174
18	that	142	156	180	174
19	it’s	187	157	216	174
20	difficult	224	156	300	174
21	and	307	156	343	174
22	expensive	350	163	443	179
23	to	451	159	470	174
24	make	477	156	527	174
25	these	534	156	584	174
26	compounds	592	156	703	179
27	on	711	163	735	174
28	an	743	163	765	174
29	industrial	773	156	863	174
30	scale,	44	220	96	235
31	and	105	214	140	231
32	as	147	220	166	231
33	a	173	220	183	231
34	result,	190	214	249	235
35	patients	257	217	333	237
36	can	341	220	374	231
37	face	381	214	419	231
38	shortages	427	214	516	237
39	of	524	214	546	231
40	the	550	214	579	231
41	medicines	586	214	683	231
42	they	690	214	732	237
43	need.	738	214	789	231
44	Dairy	798	214	851	237
45	animals,	44	272	122	291
46	on	131	278	156	289
47	the	162	272	192	289
48	other	200	272	250	289
49	hand,	256	272	309	291
50	are	318	278	346	289
51	expert	354	274	414	294
52	protein	421	274	491	294
53	producers,	497	272	599	294
54	their	607	272	652	289
55	udders	658	272	723	289
56	swollen	731	272	807	289
57	with	813	272	856	289
58	milk.	43	329	74	346
59	So	101	330	124	346
60	the	132	329	161	346
61	creation	169	332	247	346
62	of	254	329	276	346
63	the	280	329	309	346
64	first	318	329	353	346
65	transgenic	361	329	459	352
66	animals—first	467	329	602	346
67	mice,	609	335	659	349
68	then	668	329	710	346
69	other	718	329	768	346
70	species—	775	329	868	352
71	in	44	387	62	404
72	the	69	389	98	404
73	1980s	107	388	164	404
74	gave	171	393	213	409
75	scientists	221	387	308	404
76	an	316	393	338	404
77	idea:	345	387	385	404
78	What	397	387	450	404
79	if	457	387	518	409
80	they	524	389	557	409
81	put	563	387	593	404
82	the	600	393	644	409
83	gene	652	387	679	404
84	for	686	393	695	404
85	a	702	387	769	404
86	human	776	387	861	409
87	antibody	44	451	64	462
88	or	71	451	144	467
89	enzyme	152	444	189	462
90	into	197	451	205	462
91	a	214	451	258	465
92	cow,	266	447	312	467
93	goat,	321	451	341	462
94	or	348	444	413	467
95	sheep?	420	444	482	467
96	If	489	447	521	467
97	they	528	444	558	462
98	put	565	451	609	467
99	the	617	444	635	462
100	gene	640	444	676	467
101	in	683	444	712	462
102	just	720	444	764	467
103	the	771	444	827	467
104	right	43	508	100	519
105	place,	106	502	136	519
106	under	144	502	213	519
107	the	221	502	243	519
108	control	247	502	276	519
109	of	283	502	327	525
110	the	334	502	433	519
111	right	440	502	506	522
112	molecular	514	502	577	525
113	switch,	585	502	627	525
114	maybe	634	502	689	519
115	they	696	502	778	525
116	could	785	502	858	519
117	engineer	43	559	81	577
118	animals	87	559	180	582
119	that	186	559	257	582
120	produced	264	559	330	577
121	healing	336	562	415	582
122	human	423	566	441	577
123	proteins	447	560	492	577
124	in	498	559	545	577
125	their	555	559	604	577
126	milk.	611	559	683	577
127	Then	691	559	745	577
128	doctors	753	559	818	577
129	could	33	648	116	665
130	collect	123	654	167	670
131	Previous	764	648	811	664
132	page	817	653	862	669
133	Next	773	666	792	686
134	page	0	0	0	0
